year,id,serial_number,title,submission_type,primary_category,secondary_category,confidence,reasoning,abstract
2023,554453,83,"OCEANUM.LIVE: an open source, scalable, real-time, and unified meteocean data system for South Atlantic",Poster & Lightning Talk,Research,Software,High,"This is a domain-specific platform for meteocean (meteorological/ocean) data in the South Atlantic, purpose-built for weather/ocean forecasting research and operations.","Forecast of weather and ocean conditions are carried out through the application of computational numerical models. However, the results of these models are only reliable when they are confronted with metocean data collected and available in real-time.
For regions of the South Atlantic, most real-time data collection are not available in real-time for international and specialized databases, like the Global Telecommunication System (GTS). In this way, the official weather forecast centre at sea for the South Atlantic, called Brazil Marine Meteorological Service (SMM), does not have access to this information and cannot use it to improve their forecast models and bulletins.

In order to help solve this problem, an open source platform called OCEANUM.LIVE (www.oceanum.live) was developed. Its objective is to represent an open-source, scalable, and low-maintenance real-time and unified metocean data system for the South Atlantic. The system is based on five steps:
- a data mining system to obtain data through different locations;
- a data processing system that converts data to international standards, and applies quality control codes to the data, using an open source library developed especially for this project;
- a geospatial relational database for data storage;
- an API to allow researchers and forecasting centres to access data;
- a web app for data visualization.

This platform is already used by SMM to support its forecasts. This poster will outline the tools used for this system, as well as the challenges to getting collaborators for it in Brazil."
2023,554478,86,RSEs as Researchers: A case study in Health Data,Talk,Community,Research,Medium,"This talk centers on RSEs as researchers/PIs as a profession-shaping practice, sharing lessons about RSE careers and funding journeys, though grounded in a Health Data case study.","What if RSEs were also PIs and Co-Is, doing ‘research of the infrastructure’ alongside ‘research infrastructure’? What if there were real-world examples of this to study? Look no further!
In this talk, I will take the audience through the history of a set of interconnected tools and systems which our team, in collaboration with other institutions and industry, have built over the last 5 years in the field of Health Data. I will draw out key lessons and reflections from our experiences of carrying out our own funded research as an RSE group, leveraging larger grants from the success of smaller, and building collaborations across countries. We will reflect upon the successes, challenges and failures so far, and the unsolved challenges, large and small, that lie ahead. This is all with the aim that you can learn from our experience and perhaps be inspired to begin your own RSE-as-researcher journey.
By the end of the talk, you will know what we really wish we’d known when we started out, and how we’ve even convinced a company to open-source their APIs and let us produce a open-source version of their software…"
2023,554502,87,Finite element analysis: opportunity for functional programming and parallelisation,Talk,Software,Research,Medium,"This talk discusses applying functional programming paradigms (Haskell, Scala) to finite element analysis code, focusing on programming approach and parallelisation. FEM is a general numerical method used across many domains, and the focus is on programming techniques/paradigms rather than a specific scientific question.","In numerical computing, the finite element method (FEM) has been widely developed and applied. From module-based legacy code in Fortran to object-oriented framework in C++, FEM code has been extensively refactored to make use of modern hardware and invite contributions from the scientific community. Furthermore, packages in Matlab and Python have appeared in textbooks and courses for practitioners. Despite these evolutions, less attention has been paid to the functional programming approach, where programs are constructed by “applying and composing functions”. This paradigm has the advantages of code correctness and more straightforward parallelisation.

Functional programming for FEM code had been implemented by research groups in the UK and Ireland, e.g. Swansea University, Imperial College London, and University College Cork. Here, we are using the same mathematical principles to develop code in Haskell with an attempt to assess the correctness of the program. We also implement the code in Scala and explore the advantages in using parallel collection and assess its efficiency for the cases involving a large number of elements."
2023,554089,70,Charting a course for success: Implementing a new strategy for the RSE Australia New Zealand community,Talk,Community,N/A,High,"This talk is about the RSE Australia New Zealand community's strategy and governance, focused on the profession and community-building.","** APOLOGIES: THIS TALK WILL NOT TAKE PLACE ***
Apologies, but the speaker is unable to make it to present live today as part of the conference. However, she will make a recording of her talk later and we will make this available with the other talk recordings from the conference.
** APOLOGIES: THIS TALK WILL NOT TAKE PLACE ***
Over the last 6 years, the RSE community has grown rapidly in New Zealand and Australia. The RSE AUNZ steering committee was formally established in 2018 to support RSEs in New Zealand and Australia by raising awareness, advocating for RSEs and providing RSEs opportunities to connect through events, talks, and shared knowledge.
The committee has been working to provide opportunities to raise awareness of RSE at major events in the region, such as eResearch Australasia and eResearch New Zealand, doing outreach activities like presenting talks to grow the community, and planning next steps. While these efforts were what the community needed in its nascent stage, the community has evolved into a group of over 400 individuals and a renewed approach was needed.
This evolution has created limitations which include: 

Finite resources against growing needs

Competing priorities to progress goals

Lack of actionable key results for the high level goals

Documentation of the strategy to the community members and sector leaders

Difficulty in replacing outgoing steering committee members
Over the last year, while adapting to post pandemic life, the committee recognised an opportunity to address these limitations and pivot to an approach that could help serve our growing community better. The committee has worked on co-designing a strategy with the community which clearly defines goals and key results for the upcoming years. This strategy document received positive community feedback and it is publicly available via Figshare https://doi.org/10.6084/m9.figshare.21385392.v1. We will talk through the process involved in co-designing this strategy with the community."
2023,536556,2,Colouring Cities: From Prototype to Platform (with a little help from GitHub),Talk,Research,Software,Medium,"The talk centers on a specific domain project (urban building stock data platform for cities), making it Research, but much of the content focuses on general GitHub features and software engineering practices for managing a large project, which is Software.","The Colouring Cities Research Programme aims to develop open-source tools to facilitate knowledge and data sharing on national building stocks. It began with a prototype, Colouring London, and grew into an international collaboration, including cities such as Athens, Dresden, Bogotá and Jakarta. The aim is to create an open data platform that can be used for governance, planning and research, as well as tools to filter and explore the data (by ‘colouring’ buildings in different ways on an interactive map of the city).
When I joined the Project as an RSE, my responsibility was to oversee the transition from the Colouring London prototype to the new Core Platform, which was intended to facilitate easier and better collaboration between the various Colouring Cities projects. We also began to expand beyond a single city to the rest of the UK.
This transition was not without its challenges. Fortunately, my predecessors had made good use of GitHub, and encouraged the PIs to use it too. By using various GitHub features, we were able to manage this evolution and expansion of the project. This was my first experience using Git on such a large-scale project. I've learned a lot about various features of Organisations and Repositories, as well as features such as Issues, Projects, Discussions, Actions, Teams and more. 
In this talk, I will discuss some of these GitHub features, what it was like to use them, and how they enabled us to make this critical transition from the Prototype to Platform."
2023,554289,78,From prototype to production: developing a workflow for near-real time storm forecasting in Africa,Poster & Lightning Talk,Research,Software,High,"This is about productionizing domain-specific meteorological/storm forecasting software for Africa. The software is purpose-built for a specific scientific domain (meteorology), making it Research, with Software practices (workflow, scalability, monitoring) as secondary.","Access to near real-time weather information is vital for decision-making, particularly in Africa, where unpredictability of weather patterns reduces confidence in longer-range forecasts.

FASTA (Forecasting AFrican STorms Application) aims to use satellite data to provide reliable information about storm rainfall in near real-time to enhance weather forecasts, help populations prepare for severe weather, and inform government and business decision-making.

Meteorological scientists at the University of Leeds developed prototype code to combine observational and nowcasting data produced by EUMETSAT NWCSAF software to identify rainfall and storm activity in a form that can be stored, retrieved and transferred efficiently and visualised in a mobile application front end or accessed via a web API.

This poster will explore the challenges encountered in translating the original research code into a robust and maintainable backend for the FASTA nowcasting mobile application and API, which make nowcasting products available for public consumption for the first time for most of Africa. In addition to setting up a processing workflow with minimal latency, these included technical considerations such as scalability, system monitoring and failover procedures."
2023,553695,58,Automating Data Flows in the Era of Big Data with Dpypeline,Poster & Lightning Talk,Software,N/A,High,"Dpypeline is a general-purpose, customisable software for building data pipelines, applicable across domains, not tied to a specific research discipline.","In the era of big data, it is all the more necessary to implement robust practices to share and release data. As open science becomes gradually recognised as the way forward towards transparent and reproducible science, it is paramount to ensure that researchers have tools available to effectively transfer, transform, and analyse different datasets without sacrificing the time required for their scientific endeavours. As a step towards unified approaches to data processing and sharing, we present dpypeline, a software that allows building bespoke data pipelines to ease data processing. Dpypeline is a general, customisable, and extendable software that can automate the extraction, transformation, and updating of datasets. It aims to provide users with the flexibility necessary to build tailored data pipelines that meet the requirements of their applications. Dpypeline is written in Python and exposes a Python API and a command-line interface. The software core is designed using an extract-transform-load pattern, and current features include monitoring of triggering filesystem events, parallel streamlining of datasets, among other built-in methods that leverage the power of libraries such as Dask, Xarray, and Zarr. By automating data flows, this software can impact the availability of scientific data for analysis and reproducibility assessment."
2023,548496,30,An infrastructure as code template for data processing workflows on AWS ,Talk,Software,N/A,High,"A general-purpose IaC template for data processing pipelines on AWS, applicable across research domains—a cross-cutting tool/technique for RSEs.","To support spin-outs working with the UCL Centre for Digital Innovation as well as computationally intensive research projects, an open-source backend template has been built to encapsulate a generic data processing pattern. The data processing pattern, seen across research and industry use-cases, involves the ability to upload data, trigger a containerised processing pipeline, produce outputs and present the findings. The developed infrastructure that enables this processing pipeline leverages AWS services using best practice set out in the AWS Well Architect framework, drawing upon the modern serverless paradigm which ensures an efficient implementation from a cost and computational perspective. The template is developed in Terraform which is an open-source Infrastructure as Code (IaC) framework, and the codebase is modularised. The modularisation of the code allows for easy customisation by an end-user. This framework also allows for the easy translation of research into commercial applications. An overview on the AWS services used, lessons learned using Terraform and real use-cases will be presented."
2023,553812,61,I'm not paid to do that! 5 ways to have outsided impact through your work,Talk,Community,N/A,High,"This talk focuses on RSE professional impact, career development, and raising the profile of research software engineering — squarely about people and the profession.","Are you tired of hearing that you need to do outreach, teach, or engage in other activities that seem impossible to fit into your already busy schedule? The good news is that you don't have to sacrifice your day-to-day work to have a real impact. In this talk, we'll explore five practical ways to make a difference through your job. From embracing open science to driving ecosystem change, we'll share real-world examples of what has worked (and what hasn't) to make scientific software more impactful. Join us to discover how you can have a meaningful impact through your work and help raise the profile of research software engineering."
2023,550131,53,"Designing complex, reusable and scalable scientific workflows with Pydra",Walkthrough,Software,N/A,High,"Pydra is a general-purpose dataflow engine for scientific workflows, applicable across domains (despite neuroimaging origins). It's a cross-cutting tool for building reusable workflows.","Designing scientific workflows is a challenging endeavour. They require composing multiple algorithms with different authorship, distribution channels (CLI, package, container) and necessary runtimes (Python, MATLAB). Such heterogeneity typically leads to semi-manual implementation, where scientists are expected to manage input and output files or interact with partial results. This is often time consuming, error-prone and makes experiments difficult to reproduce without adequate documentation or additional tooling.
This is the motivation behind `Pydra` — a general-purpose dataflow engine written in Python — designed with simplicity, reproducibility and scalability in mind. Born from a decade of experience building neuroimaging workflows with `Nipype` [1], `Pydra` provides flexible task semantics to facilitate composition of Python functions, shell commands and container processes. The resulting workflows also benefit from support for distributed execution, global caching and provenance tracking.
This walkthrough demonstrates how `Pydra` empowers the scientific community to build fully-automated, reusable and scalable workflows. First, the core components of `Pydra` [2] are introduced through simple task definitions in pure Python. More complex workflows are then showcased, with a mix of Python functions and shell command tasks, map-reduce semantics, and nested workflows. It concludes with advanced execution strategies and workflow customisation, including distributed computation, caching and container-based execution.
[1] Gorgolewski, Krzysztof, et al. ""Nipype: a flexible, lightweight and extensible neuroimaging data processing framework in python."" Frontiers in neuroinformatics (2011): 13.
[2] Jarecka, Dorota, et al. ""Pydra - a flexible and lightweight dataflow engine for scientific analyses."" Proceedings of the 19th python in science conference. Vol. 132. 2020."
2023,554206,73,"Research, Software Engineering  Data Science for Social Good with DataKind: Lessons from the frontline",Talk,Community,Research,Medium,"This talk is about volunteering RSE/data science skills with charities for social good — a profession/community-facing initiative, with a case study illustrating impact. It's about people applying skills cross-domain rather than a specific scientific domain or general-purpose tool.","DataKind UK are a charity that connects researchers, software engineers and data scientists from academia and industry with social change organisations like charities, letting them volunteer their time to research how the data an organisation holds can be used to transform their impact. This includes long-term engagement in DataCorps projects, as well as weekend-long DataDive hackathons. Volunteers search for patterns, and build pipelines and platforms to help answer questions the partners have. Volunteers can achieve serious real-world impact in a short time by applying their research and software engineering skills in a field with both a serious lack of, and need for, them.

In this talk, we will present an example of the lessons we’ve learned and the impact we’ve had from working with UK non-profits for 10 years. We will focus on one project in particular, working with a food bank to predict dependence on their services. The food bank struggled with how to best support people that came back 5 or 10 times to get food packages. These individuals weren't getting the support they needed from other services, and their problems weren't going away. The food bank had one support worker on hand to provide extra support - but they didn't know how to prioritise this support among the many people who came to the food bank daily. We helped with this, to ensure that those most in need got support the fastest. That might not sound like much - but for a small charity, that's big news!"
2023,554241,75,CaRROT-CDM: An Open-Source Tool for Transforming Data for Federated Discovery in Health Research ,Poster & Lightning Talk,Research,Software,High,"Tool purpose-built for health research data transformation to OMOP standard, serving a specific domain (health/medical research).","Introduction 
Health Data are collected or repurposed for research in many organisations across the UK. These data are held in many formats and at many scales. Such data can contain information on biometric measurements, medical conditions, medical procedures, demographics, and prescribed medications with several coding systems in use. For GDPR compliance, data are stored securely and de-identified prior to use in research making sharing and standardisation more difficult.
The Observational Health Data Sciences and Informatics (OHDSI) program’s Observational Medical Outcomes Partnership (OMOP) Common Data Model (CDM) provides standard data objects and coding for health data.  
CaRROT-CDM 
Open-Source tools were developed to define mappings and transform data from numerous disparate organisations (the Data Partners) to the OMOP standard to allow federated data queries via the Health Data Research UK (HDR-UK) gateway. These tools are CaRROT-Mapper and CaRROT-CDM, with the latter being the focus here. 
CaRROT-CDM takes mapping information from the CaRROT-Mapper and source data as input. It produces OMOP CDM format data as output. The tool was designed to run in Data Partners’ compute environments, reducing the governance burden for transforming data to the common standard. Sensitive, identifiable data are never seen by the development team. 
Conclusions and Current Work 
The CaRROT-CDM tool is in use at Data Partner sites and has transformed over 20 COVID-19 and Pain data sets, so far, which are available for aggregated query via the HDR UK innovation gateway.
Current work is focussed on re-engineering and testing the software for scaling to population-level health data."
2023,554272,76,Collaborating on the Cloud: Creating an Organ Quality Scoring Tool,Talk,Research,Software,Medium,"This talk centers on a domain-specific tool for organ transplantation assessment, built for clinical/medical use with NHS data, though it discusses cloud infrastructure practices.","Organ Quality Assessment is a cross-disciplinary project that aims to develop machine learning solutions to support transplant surgeons to assess the viability of organs for transplantation. The project will result in a web based tool which includes training data generation and near real time organ quality scoring. This talk will present the project background before exploring the cloud infrastructure used in detail. 
This project has involved our RSE team setting up Jupyter notebooks on the cloud to provide academic collaborators access to sensitive NHS data, which is restricted in where it can be stored and used. This allows both our RSEs and our research collaborators to interact with the controlled data in order to train and test machine learning algorithms. We will also discuss how rigorous audit trails and access policies were employed to meet regulatory and commercial requirements. 
We will outline lessons learned from combining web development, dev ops and machine learning in one project with both academic and clinical collaborators, as well as having to find solutions to working with restricted, sensitive data."
2023,554512,88,Tending the research software ecosystem garden: increasing interoperability  accessibility of diverse software packages and guiding users towards best practices via RSE-developed platforms,Talk,Research,Software,Medium,"The talk centers on QuantumBox, a platform built for crystallography, but the presenters explicitly frame it as illustrating transferable RSE approaches for integrating diverse software packages. It's a domain-specific tool with cross-cutting lessons.","Due to the ever-increasing adoption of computer simulations in academic research, many research fields have sprouted diverse ecosystems of software packages. While these often implement advanced computational approaches, their use case and area of application can be fairly specific, making it desirable to combine several tools in a computational pipeline. 
However, the software dependencies of applications can be complex and sometimes mutually incompatible. They may also use bespoke, non-standard data formats or require advanced domain knowledge for their use. 
These aspects can pose significant challenges to a user's ability to employ these tools in their research, exchange data between different pieces of software and stitch them together in a coherent workflow. The researcher carries the additional burden of recording data provenance and ensuring reproducibility, either manually or via bespoke scripts and tools. 
As research software engineers, we have the opportunity to develop tools and platforms that provide the missing ""glue"" between different pieces of research software. Using the example of the emerging crystallographic platform ""QuantumBox"", we illustrate how research software engineering approaches can bring together a variety of highly disparate software packages, make them easier to access and use for inexperienced users and help users adopt best practices regarding data management and provenance tracking. While Quantum Box's area of application is in crystallography, the approaches and lessons learned are highly transferable to other fields. 
We present and discuss our approach and experience so far regarding design principles and software architecture, as well as the important aspect of community engagement."
2023,554514,89,TUG-RSE: Pulling Students into Research Software Engineering,Talk,Community,N/A,High,"This session focuses on lowering entry barriers into the RSE profession for students, discussing community welcomeness and introducing a guide for undergraduates—clearly about people and the profession.","Research Software engineering can often present a high entry barrier, especially for newcomers. Despite community efforts to create more entry-level positions, many individuals, especially students, still lack the required skill set or awareness of the field.

This session aims to delve deep into this issue and propose potential solutions to make the RSE community more welcoming. It would also introduce “‘The Undergraduate's Guide To Research Software Engineering’ (TUG-RSE)”, a project aimed to address this very challenge.

This session welcomes RSEs at all career stages and anyone with a keen interest in research software. The goal is to facilitate an open dialogue, while gathering valuable audience feedback and suggestions."
2023,548482,29,FAIRsharing Assistant - The FAIRsharing wizard,Poster & Lightning Talk,Software,Community,Medium,"FAIRsharing is a cross-cutting, profession-wide infrastructure for FAIR data discovery, serving researchers and RSEs across all disciplines. It's a tool but its purpose is community/policy infrastructure (FAIR principles, data stewardship).","Announcing the FAIRsharing Assistant, a new component of FAIRsharing designed to guide the research data community towards a customised set of databases, standards and policies relevant to them, and to help enable FAIR data.
FAIRsharing is a curated, informative and educational resource on data and metadata standards, inter-related to databases and data policies, across all disciplines. FAIRsharing guides consumers to discover, select and use these resources with confidence, and producers to make their resource more discoverable, more widely adopted and cited.

FAIRsharing promotes the FAIR (Findable, Accessible, Interoperable, and Reusable) Principles, and therefore enables FAIR data, by promoting the value and use of data and metadata standards, and their use by databases.
One such tool is the FAIRsharing Assistant, a friendly Graphical User Interface, which has been designed using VueJs, D3Js, javascript to offer personalised guidance to those in research and in research support roles (e.g. researchers, developers, curators, policymakers, data stewards, librarians, standards development organisations, societies) to discover standards and repositories in FAIRsharing. The Assistant also signposts other FAIR-enabling resources to aid the user in the creation and discovery of FAIR data."
2023,548510,32,GPU code optimization and automatic performance tuning made easy with Kernel Tuner,Workshop,Software,N/A,High,"Kernel Tuner is a general-purpose auto-tuning tool for GPU code, applicable across domains, focused on software optimization techniques.","Graphics Processing Units (GPUs) have revolutionized the HPC landscape. The first generation of exascale supercomputers is currently being built, and most of these systems will have GPUs as their main computing platform. The performance of GPU applications strongly depends on how the software has been optimized for the hardware. There are many different implementations and code optimizations to consider that can also be parameterized, creating vast search spaces that are infeasible to search by hand. As such, automated performance tuning (auto-tuning) techniques are crucial to optimize such applications. 

In this tutorial, you will learn how to use Kernel Tuner, an easy-to-use tool for auto-tuning GPU code using simple Python scripts. Kernel Tuner supports OpenCL, CUDA, C++, and Fortran. We take a step-by-step approach to explain the auto-tuning basics, building up to more complex search spaces with many tunable parameters and inter-dependencies.  

We cover a wide range of topics from the basics of GPU code optimization, to using advanced search space optimization strategies to accelerate the auto-tuning process. Participants are welcome to bring their own code for the exercises, but we also provide plenty of code examples."
